Capacity of district electricity generation per period (MW)
t_periods,Sub,Sector,Tech_cat,Tech_type_1,Tech_type_2,Tech_type_3,Capacity_units,Capacities
2023,Commercial,Building,Production,PV pannel,Decentralized,Best potential,MW,150.35961625520216
2023,Commercial,Building,Production,PV pannel,Decentralized,Medium potential,MW,150.35769897059703
2023,Commercial,Building,Production,PV pannel,Decentralized,Poor potential,MW,89.8239915000031
2023,Commercial,Building,Production,Wind Turbine,Decentralized,Standard,MW,73.71227247940453
2023,Commercial,Building,Storage,Battery,Decentralized,1 Hour Autonomy,MW,0.17983091951943692
2023,Commercial,Building,Storage,Battery,Decentralized,4 Hour Autonomy,MW,0.11732469645712976
2023,Commercial,Building,Storage,Battery,Decentralized,8 Hour Autonomy,MW,0.08284488942048658
2023,Industrial,Building,Production,PV pannel,Decentralized,Best potential,MW,32.857529214403066
2023,Industrial,Building,Production,PV pannel,Decentralized,Medium potential,MW,32.81488719890788
2023,Industrial,Building,Production,PV pannel,Decentralized,Poor potential,MW,32.796240421549626
2023,Industrial,Building,Production,Wind Turbine,Decentralized,Standard,MW,0.2883159400692593
2023,Industrial,Building,Storage,Battery,Decentralized,1 Hour Autonomy,MW,0.1905164096203826
2023,Industrial,Building,Storage,Battery,Decentralized,4 Hour Autonomy,MW,0.1919828774893085
2023,Industrial,Building,Storage,Battery,Decentralized,8 Hour Autonomy,MW,6.961961422704457
2023,Public,Building,Production,PV pannel,Decentralized,Best potential,MW,32.18646104137802
2023,Public,Building,Production,PV pannel,Decentralized,Medium potential,MW,13.46015366288325
2023,Public,Building,Production,PV pannel,Decentralized,Poor potential,MW,13.142176948657715
2023,Public,Building,Production,Wind Turbine,Decentralized,Standard,MW,10.65772057976428
2023,Public,Building,Storage,Battery,Decentralized,1 Hour Autonomy,MW,0.17636974121457624
2023,Public,Building,Storage,Battery,Decentralized,4 Hour Autonomy,MW,0.11611877637543117
2023,Public,Building,Storage,Battery,Decentralized,8 Hour Autonomy,MW,0.08185357945178018
2023,Residential,Building,Production,PV pannel,Decentralized,Best potential,MW,85.72682933875573
2023,Residential,Building,Production,PV pannel,Decentralized,Medium potential,MW,55.242778784116815
2023,Residential,Building,Production,PV pannel,Decentralized,Poor potential,MW,55.24132058433116
